Timestamp,Name,Email address,"Which events do you plan to attend on Sunday, July 30?","Which events do you plan to attend on Monday, July 31? (not including lightning talks, unconference sessions, and hackathons that will continue or start on 2nd day)","Which events do you plan to attend on Tuesday, August 1st?"
7/14/2017 13:20:04,Normand Kuphal,tjrunwb@xoklbtmij.lqb,"Workshop: Using OSF (1:30-3:30p), Hack: Making open science more diverse and inclusive (all day), Hack: Resources for changing culture in department, university, society (all day)","Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/17/2017 3:26:39,Gene Marks,pdmswvxle@qpybuhsm.mcd,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Hack: Syllabus for Research Methods (all day)","Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/21/2017 11:36:54,Theo Crooks,jlbht@u.rna,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p)","Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 12:33:09,Alejandrina Bode,dfkevirso@fmjswdhv.zmh,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Using OSF (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day), Hack: Forming a new journal (all day)","Workshop: Getting started with preregistration (9:30a-12:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 16:44:55,Milford Paucek,lcut@nscpatdkgh.nfg,"Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Resources for changing culture in department, university, society (all day), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: Getting started with preregistration (9:30a-12:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 20:54:19,Scott Kling,qsg@kbhcos.oec,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Hack: Syllabus for Research Methods (all day), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: Getting started with preregistration (9:30a-12:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/15/2017 9:32:49,Brianna Kihn,u@pxtuvemfgd.pzd,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day), Hack: Resources for changing culture in department, university, society (all day), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: Getting started with preregistration (9:30a-12:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/17/2017 17:28:03,Izola Cassin,wrly@dmi.zet,NA,"Workshop: Getting started with preregistration (9:30a-12:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/21/2017 0:16:14,Emmy McKenzie,jag@nzrt.puj,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Resources for changing culture in department, university, society (all day)","Workshop: Getting started with preregistration (9:30a-12:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 13:09:09,Lucas Stanton,ajfqzvopcr@q.iav,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Hack: Syllabus for Research Methods (all day), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 14:02:38,Marlin Cartwright,xzsn@hbvgye.aox,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Using OSF (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Making open science more diverse and inclusive (all day)","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/19/2017 9:27:11,Kathe Hettinger,bpqlt@tlsnmdcpwb.hzb,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Hack: Resources for changing culture in department, university, society (all day)","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/25/2017 18:48:23,Freeman Mueller,mn@tjviklm.pdm,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p)","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 14:42:31,Viki Hansen,uinghsjaoe@dtshvmb.xfi,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Hack: Resources for changing culture in department, university, society (all day)","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: Power analysis and effect size (3:30p-5:30p), Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/17/2017 18:44:41,Darrel Kub,dkiapsow@dgorpmec.wbp,"Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Workshop: Using OSF (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day), Hack: Making open science more diverse and inclusive (all day), Hack: Resources for changing culture in department, university, society (all day)","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: Power analysis and effect size (3:30p-5:30p), Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 12:32:51,Roslyn Bosco,xakd@obqe.lbm,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p)","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: R Markdown (1:30-3:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:07:59,Sirena Gutkowski,hntpzu@mbjyewo.wkp,"Workshop: Using OSF (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day), Hack: Forming a new journal (all day), Hack: Resources for changing culture in department, university, society (all day)","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 11:58:52,Wendi Barton,elzt@gev.mya,"Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: Using OSF (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p)","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/24/2017 5:13:06,Alyse Kilback,xu@xihdaufs.xeh,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Workshop: Using OSF (1:30-3:30p)","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/24/2017 12:15:56,Clark Grant,qgnvf@mwd.hzw,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day), Hack: Making open science more diverse and inclusive (all day), Hack: Resources for changing culture in department, university, society (all day), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: Getting started with preregistration (9:30a-12:30p), Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p), Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:20:34,Kaycee Lockman,txompu@jupbfsi.jxp,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), I am flexible; if there is a hackathon that needs help, let me know.",Workshop: Power analysis and effect size (3:30p-5:30p),Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:26:06,Sol Kuhn,alqr@wybzfgjhcm.iwa,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Hack: Syllabus for Research Methods (all day)",Workshop: Power analysis and effect size (3:30p-5:30p),Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:57:55,Tamra Hahn,apqgvuk@nwkbe.ubg,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Hack: Syllabus for Research Methods (all day), Hack: Resources for changing culture in department, university, society (all day)",Workshop: Power analysis and effect size (3:30p-5:30p),Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 11:03:24,Normand Barton,aitnmzecr@s.evq,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p)","Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/15/2017 17:10:24,Desirae Koss,nphe@nodmfszav.hib,"Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Resources for changing culture in department, university, society (all day)","Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/15/2017 21:36:13,Rhoda Ortiz,g@mtnwhusdel.oqv,"Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Resources for changing culture in department, university, society (all day)","Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/17/2017 5:10:10,Luise Mante,oexazdf@npxhg.bqe,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Resources for changing culture in department, university, society (all day)","Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/18/2017 8:31:29,Jonah Spinka,skvawtl@wnzuh.glk,NA,"Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/20/2017 22:53:03,Madalene Mayer,ckwevu@ufsazqgjdm.czl,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening)","Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 11:08:23,Ramon Murray,dlzqxjwc@zpter.iln,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day), Hack: Making open science more diverse and inclusive (all day), Hack: Forming a new journal (all day), Hack: Resources for changing culture in department, university, society (all day), Hack: Action campaign for all psych journals to adopt transparency policies (all day)","Workshop: Power analysis and effect size (3:30p-5:30p), Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/23/2017 12:27:48,Johnathan Kunze,basu@runpcykm.dcp,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day), Hack: Making open science more diverse and inclusive (all day), Hack: Resources for changing culture in department, university, society (all day), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: Power analysis and effect size (3:30p-5:30p), Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/24/2017 12:04:05,Darrel Murazik,vwdnh@mgiau.jzt,"Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Hack: Making open science more diverse and inclusive (all day), Hack: Resources for changing culture in department, university, society (all day), Hack: Action campaign for all psych journals to adopt transparency policies (all day)","Workshop: Power analysis and effect size (3:30p-5:30p), Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 12:46:56,Dion Thompson,blvjgi@svmauze.vda,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Hack: Forming a new journal (all day)",Workshop: R Markdown (1:30-3:30p),Everything else will be scheduled during the conference depending on what has legs and group interest
7/21/2017 11:19:28,Fernando Bartoletti,galt@vsfj.dzn,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Hack: Making open science more diverse and inclusive (all day), Hack: Resources for changing culture in department, university, society (all day)",Workshop: R Markdown (1:30-3:30p),Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 13:45:27,Clarence West,wkxnghausj@ytewrmxoz.qoy,"Hack: Forming a new journal (all day), Hack: Resources for changing culture in department, university, society (all day), Hack: Action campaign for all psych journals to adopt transparency policies (all day), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: R Markdown (1:30-3:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:16:33,Santiago Homenick,fdzijoemu@olgetk.vwr,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Hack: Resources for changing culture in department, university, society (all day), Hack: Action campaign for all psych journals to adopt transparency policies (all day)","Workshop: R Markdown (1:30-3:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 12:23:11,Melodi Purdy,yzt@swntg.npk,NA,"Workshop: R Markdown (1:30-3:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 13:53:07,Winnie Olson,lgisnt@u.cdz,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: R Markdown (1:30-3:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:47:01,Laurence Orn,jbygzl@upqjlsoegm.wab,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Hack: Making open science more diverse and inclusive (all day)","Workshop: R Markdown (1:30-3:30p), Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 11:36:40,Daniella Wilkinson,dcxrwv@gayqnibw.jzi,"Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Hack: Making open science more diverse and inclusive (all day), Hack: Resources for changing culture in department, university, society (all day)","Workshop: R Markdown (1:30-3:30p), Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/16/2017 6:21:53,Arielle Jacobs,odpmgqjkya@c.fup,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Hack: Making open science more diverse and inclusive (all day), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: R Markdown (1:30-3:30p), Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 11:54:40,Robert Hamill,qpkgyi@cyfk.mrg,"Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day)","Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/18/2017 15:16:18,Beata Herman,pjbarvck@nsyx.gft,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day), Hack: Forming a new journal (all day), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:11:26,Miriam Barrows,b@kv.vek,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Hack: Resources for changing culture in department, university, society (all day), Hack: Action campaign for all psych journals to adopt transparency policies (all day)","Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:58:33,Sterling Spinka,t@c.wdm,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Action campaign for all psych journals to adopt transparency policies (all day), I am flexible; if there is a hackathon that needs help, let me know.","Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 11:34:02,Virgil Spinka,ebyhzrftqi@v.bei,"Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p)","Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 11:41:02,Lu Hudson,yklsfhepc@uka.gzo,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Hack: Syllabus for Research Methods (all day)","Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 14:17:54,Kurt Kuphal,zgmj@ofv.tzm,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day)","Workshop: R Markdown (1:30-3:30p), Workshop: Power analysis and effect size (3:30p-5:30p), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
